pubblico	[3284010, 1758490, 1754667, 1765053, 1859670, 399343, 1910190, 4537, 672098, 3264118, 4900533, 3264117, 2221831, 377548, 2819510, 633849, 3889361, 2685976, 4711187, 2139674]
senso	[2437991, 2585784, 3297577, 1765315, 3065461, 876779, 2205678, 1074110, 3420511, 3045022, 4407, 1204380, 1543226, 1916694, 3441513, 3045032, 1794926, 1848319, 1848351, 647135, 1204378, 1268034, 1061210, 2057199, 3411168, 3114625, 3114626, 5071027, 3280444, 3973937, 3973939, 3350004, 2421409]
dapprima	[1758790]
evento	[1765100, 2431187, 2035254, 2257992, 897248, 1964322, 2903233]
ormai	[2437168, 3617135, 4293390]
scaricare	[3102945, 3102946, 3102947]
imperatore	[3025380, 569338]
punire	[1633225]
inno	[2758474]
considerevole	[4099065]
meraviglia	[2090607, 2205678]
dignitosamente	[627710]
proporre	[1758765, 4403, 1870191, 2057140, 412799, 3663056, 3663057]
riuscire	[3093976, 1208114, 1754703, 1714801, 1714799, 3463004, 3533806, 3463027, 2456875, 2128774, 1812566, 3296228, 2827203, 503559, 2510366, 4892553, 2440426, 905680, 2447975, 2232913, 2031497, 5792115, 876808, 1071912, 1282554, 955103, 862206, 2189278, 2421227, 2434924, 1758847, 1803828, 569602, 1844768, 616998, 1677682, 1794333, 5166381, 3627155, 5166379, 1438610, 1438494, 632286, 635124, 3495737, 430305, 1020347, 2510379, 946849, 2192032, 999171, 997700, 2784832, 2784882, 2433794, 1438609, 935291, 3667353, 1664836, 2232837, 1827075, 859660, 3002498, 979782, 1655235, 1267967, 2716597, 374619, 5419200, 630464, 6680398, 351129, 1618582, 894658, 3863589, 2440528, 398134, 1631615, 3503405, 1222368, 1700698, 5800753, 653888, 967577, 5984936, 350360, 5764450, 5764452, 2819401, 2819402, 2819403, 2819404, 715740, 1703601, 888028, 2216703, 3667350, 3667351, 3667352, 896938, 3752681, 1636979, 1842961, 1405149, 2457758, 2457759, 4939275, 3139600, 3548135, 829268, 2729703, 4408, 4847878, 6712210, 6712211, 6536525, 889149, 1964876, 4171456, 1633296, 517959, 2232942, 3606748, 645858, 4001716, 1222366, 1222367, 999802, 4962444, 8033439, 6086538, 5764449, 5764451, 4143793, 3533287]
successivo	[4244347]
partecipante	[1870191, 1859693, 1859699]
celebre	[4865651]
ruolo	[1754697, 1010975]
tocco	[1303479]
influenzare	[799844, 1912731, 2455774]
cantante	[935774, 867719, 2219217, 1081703, 949660, 2999614, 731615, 1081700, 1992547]
ampliare	[2224588]
cinquecento	[4992781, 607664]
inventore	[5413883, 969840]
principale	[3297636, 2189042, 2903233, 2112390, 2777666, 1003858]
ricominciare	[1915002, 1722431]
posare	[2254374, 1851326]
ognuna	[2221731]
sede	[3421137]
movimento	[1764317, 4876103, 1184941, 1316538]
gruppo	[2457780, 2421564, 2010182, 1718953, 1326753, 2510395, 3298107, 6629886, 2028586, 3298106, 1838518, 839623]
struttura	[3529264, 2863868, 1853823, 3387920]
numeroso	[1758490, 1719499, 3102819, 1758748, 1032552, 857120, 2479025]
ferita	[382929, 3004012]
accorrere	[1765098, 3487076, 3264332, 1736257]
raramente	[1758771, 1240680, 1825034, 2201324, 1805849, 6697872, 5898489, 5898491, 718830, 718832, 719247, 3364396]
capitano	[1905562, 2078736, 2505125, 1613953, 1542172, 2414755, 2414756]
aumentare	[1866867, 3297577, 2810520]
rilassare	[2427303, 6551121]
salvare	[1765105, 1765098, 727003, 351151, 4862991, 3107531, 3107534, 3107530, 5010820, 5010821]
ritirare	[7321562]
gridare	[1638115, 2473238, 2519022, 2519030, 2519000, 1202641, 2519004, 3239441]
