dapprima	[1758790]
ormai	[2437168, 3617135, 4293390]
scaricare	[3102945, 3102946, 3102947]
imperatore	[3025380, 569338]
punire	[1633225]
inno	[2758474]
considerevole	[4099065]
meraviglia	[2090607, 2205678]
dignitosamente	[627710]
successivo	[4244347]
partecipante	[1870191, 1859693, 1859699]
celebre	[4865651]
ruolo	[1754697, 1010975]
tocco	[1303479]
influenzare	[799844, 1912731, 2455774]
ampliare	[2224588]
cinquecento	[4992781, 607664]
inventore	[5413883, 969840]
ricominciare	[1915002, 1722431]
posare	[2254374, 1851326]
ognuna	[2221731]
sede	[3421137]
movimento	[1764317, 4876103, 1184941, 1316538]
struttura	[3529264, 2863868, 1853823, 3387920]
ferita	[382929, 3004012]
accorrere	[1765098, 3487076, 3264332, 1736257]
aumentare	[1866867, 3297577, 2810520]
rilassare	[2427303, 6551121]
ritirare	[7321562]
aurora	[2974371, 2031603]
volo	[2479104, 3355452, 1596556, 2028577, 739049]
appassionare	[2213720]
cerimonia	[4947640, 1803977]
coppa	[1265197, 4603651, 3344001]
trasporto	[1754996, 997463, 2819510, 2685976]
esploratore	[825809]
promuovere	[1866867, 1329025, 2428407, 1720040, 998835]
prete	[625097]
stabilimento	[2173201]
coperto	[1719472]
volto	[3030472, 5182237, 726578]
ammettere	[1460334, 934973, 2143219, 2226870]
sfruttare	[]
denuncia	[3250110]
pastore	[]
complesso	[3618279, 3077830, 2038916, 1850535, 3753377]
allievo	[2456093, 2456170, 896791, 3213019]
maggiormente	[2201288]
evidente	[2219146, 3352880, 2209290, 425382]
passante	[2784790, 2784791, 2191941]
coinvolgere	[2282386, 2209462, 1856769, 1957883, 1347962]
bilancia	[6592961, 6592962]
occupazione	[1754707, 5635280]
spalla	[1278503]
intervento	[1765095, 1765080]
deciso	[]
giudizio	[1795501, 3690971, 1826046, 3280580, 3501636]
ciliegio	[409462, 409467]
compera	[999538]
acquisire	[1857161, 2430725, 2430747, 1857364]
fedele	[893711, 1211263]
liceo	[539006]
cespuglio	[1762755]
agio	[1010953]
reale	[2421425, 399343, 3530074, 1850333, 1964322]
lettura	[3307383, 1566477]
abbigliamento	[]
punizione	[3678213, 3678214, 3678215, 3678216]
pianista	[914252, 500227, 758756, 1062126]
tesoro	[860687, 4620156]
fonda	[2194351]
chiacchierare	[381855]
telegrafo	[999181, 999185]
piacevole	[4532848, 2430419, 1005854, 2196504]
disponibile	[2028935, 3338022, 1309711, 1809384]
legare	[1841029, 1616179, 3859906]
ingrassare	[4622]
scrittorio	[2440265]
ingannare	[3164266, 1606313]
risalire	[1368164]
durata	[1846952, 1878239]
crollare	[570411]
scorrere	[4922693, 1152808]
riunire	[1735650, 1860234]
orgoglio	[759894]
ascoltatore	[]
consegna	[3405784, 3405785, 350327]
poliziotto	[1765105, 2784796, 2685546, 5770292, 1132138]
bordo	[1762730, 969950]
condizionatore	[2056101]
mossa	[2716551, 2716552, 2716550]
portafoglio	[3265092, 3265093, 1455490]
curioso	[2444140, 1012837]
quindici	[2574689, 2056101, 1114793, 2293690, 4594994]
scambio	[1329025, 1759552, 2421669]
tomba	[758446, 4718301]
arabo	[538991, 2151366, 1341750, 4617378, 6563161]
invidioso	[]
yogurt	[]
smarrire	[4579898, 5962427]
puro	[2997135, 3490900]
quaranta	[622290, 2189138]
peccare	[1807379, 4571, 612735]
coltivare	[4545345, 966199, 4588241]
scelto	[]
fagiolo	[]
candela	[3361425, 7741769, 3830410, 3830412]
astronomia	[382269]
istituzione	[1758457, 1795464]
esaminare	[2213900, 4962364, 2402137, 2195723]
portale	[2437011]
teorico	[1296406]
zona	[2431187, 1765092, 2420923, 350856]
ingresso	[3807090, 1565168, 2227345]
trasferire	[2510391, 630482, 7124347, 2752336, 2510343]
riportare	[4579, 2131271, 2131273]
chissà	[3671416, 1765896]
indimenticabile	[4877166]
discarica	[1646130]
timidezza	[1720860]
rotondo	[]
lotteria	[]
dibattito	[1765066, 2147878]
editoriale	[3264147]
commerciale	[1857364, 6004500, 6004501, 7775142]
motivazione	[715665]
consumo	[1759547, 1765048, 2416904]
traduttore	[]
direttamente	[3290750, 609102, 2784701]
cervo	[7223173]
favorire	[2437991, 2029086, 1755006]
sepolto	[1931689]
zampa	[377220]
sottoporre	[2421564, 602293, 749956]
arricchire	[2437991, 2381951, 4482136]
collaborazione	[2227490]
appoggio	[1792094, 2465369]
disegno	[3078245]
ostruire	[1827257, 1827096, 1827251]
discendere	[976832, 2056533]
gestire	[1910190, 3425603, 1539321]
sostanza	[1796343, 1545193, 1545194, 1005936, 966176]
fastidio	[3343479]
incubo	[1468951, 8469475]
carriera	[792362, 3426024, 6765902]
negare	[2347180]
benissimo	[1873953, 3013342]
sostituire	[499910]
marciapiede	[4998976, 4998946]
impaziente	[2022773]
perfino	[1616179, 2057131, 738829]
caratteristica	[3319143, 2193459, 2427303, 2112390, 1872727]
leggenda	[]
generazione	[2201517, 1759536, 1794754, 2456010, 842622]
disturbo	[2989191, 1916290, 3348361]
inoltre	[1758806, 2217608]
mestiere	[1754705, 1850829]
ovviamente	[]
alternare	[3030534]
divertire	[1874157, 2476415, 930652, 4573003, 1552018]
visitatore	[350408]
inquinamento	[2196491]
voto	[2189376, 664227, 3338187, 3338177]
copia	[819960, 2576399]
fisso	[1722515, 1616478, 1616480]
onore	[3607212, 1795566, 1637440, 1535793]
passione	[2460049, 4974539, 439745]
contattare	[1073334]
comprensibile	[3319143, 1765036, 1687448]
insegnamento	[2456093, 2456170, 1911305, 2455983, 1185159]
concedere	[3302607, 1922196, 1677133, 4991600]
malanno	[2784771]
bevanda	[3807090]
minacciare	[1754711, 1867073, 999987, 3667211, 3667312]
istituto	[1606313, 538991]
mescolare	[6034311, 6034310, 1577854, 1577853, 5820136]
cipolla	[2076160, 791347, 3441100, 2729461]
epoca	[1758490, 3053424, 2878749, 2529813, 2529814]
esigente	[3260860, 3260861]
stupire	[2277251, 2272582, 630482, 4411, 3174310]
posizionare	[2975629, 1838484, 1838478]
adatto	[1765107, 1758471, 522515, 3754509]
eterno	[1434757]
cercatore	[2453594]
ala	[1762730, 2254374]
vario	[1910191, 3025401, 4922710, 2162898, 2510709]
subire	[4919303]
follia	[2010182, 852109, 3343630]
televisivo	[3676057, 1636849, 1455490]
canale	[2215527]
affidare	[1762051, 628056, 3501636]
cassetto	[4919695, 4887069]
cambio	[980896, 1869109, 1767433, 1803354]
dio	[4869038, 962401, 1746594]
aggiunto	[1743129]
rinchiudere	[2206010]
negativo	[2427548, 1859679, 4920805, 4919431]
vantaggioso	[2427736, 380877]
conveniente	[3102819, 3548042, 1057369]
fondo	[3641400, 7741755, 2054179, 3401340, 1767328]
agricoltore	[1754705, 2429163, 4954359, 1202641]
tradizione	[6933506]
annuncio	[]
riscontro	[3672186]
precedente	[1422113, 2426659, 718523]
colui	[1326955, 2408979]
abbandonato	[1510625, 1510629]
latino	[2510434, 1843334, 967395, 2833364]
ripagare	[]
corridoio	[2453995, 439443]
sito	[3239920]
quinto	[839229, 3029139]
parcheggiare	[2268230, 3262861]
vantare	[1454895, 4293378]
oceano	[967363, 7893555, 7893556]
goccia	[1160698, 3021788]
avvicinare	[4525811, 3361010, 1101811]
fucile	[3483541]
offendere	[]
panna	[2989599, 1549874]
lira	[1200979]
intervistare	[2196057]
tipico	[2193459, 905668]
distruggere	[3296228, 5019670, 1137657, 2188987]
ministro	[841779, 2151366, 2268223, 642653, 1187874]
salmone	[]
personalmente	[2224274, 503559, 977536, 3251528, 3251527]
affatto	[1803828, 765126, 5792110, 1758014]
impiegare	[1776893, 2028978]
usato	[1449280, 910277]
venditore	[1872128]
ente	[1758490]
obbligo	[1422113]
protestare	[2784692]
rischiare	[1765105, 1445395]
pur	[4849680]
formazione	[1759547, 2213603, 2057131, 2507781]
gola	[4522628]
registrare	[666732]
crollo	[3601589, 3601590]
fastidioso	[]
avvisare	[1758726, 1758717, 1758720, 1758723, 2023198]
amarezza	[3561437]
poeta	[1762051, 1873704, 2452284, 359438, 1211170]
traccia	[2212330, 4509, 410193]
preside	[]
rallegrare	[2784799, 2784898]
deputato	[1758461, 1758748, 1758760]
fantasia	[585784, 1084629, 2231635, 2231630]
vespa	[]
incredibile	[1686106, 1722528, 4519, 2516175]
trionfo	[1722528]
assicurazione	[350327]
furto	[]
nido	[5172283]
pertanto	[740368, 948080]
ambientale	[1329316, 1754707, 2430725, 1535723]
laurea	[5683687, 3372781, 621177]
imbarazzante	[]
garanzia	[4974539, 3296530]
furbo	[2474495, 3094002]
ammirazione	[4853058, 5562484]
fisico	[2426969, 670805, 3264115]
composizione	[]
noia	[1905694, 2796312]
infelice	[2035254, 2777660, 2224299, 2777659]
schiena	[6217530, 1529406, 1529407, 2494290]
gemello	[385094, 2716597, 3075969]
duemila	[3222104, 1880206]
coccodrillo	[2196496, 2417303, 1063967]
presentazione	[2510606, 1250946]
cosiddetto	[1759560]
limite	[119949, 2209652, 664407]
recare	[1810949]
antiquario	[6162572]
afferrare	[2485358, 2485370, 1719958]
atteggiamento	[2428407, 2427736]
apparire	[4937226, 3410526]
ufficiale	[2059890]
spostare	[1081564, 2213613, 1664836]
mostro	[1391473, 1101567]
fosso	[3391582]
somma	[4567, 3105907, 774743, 4099065]
liberamente	[1857161, 715201]
affilare	[1751831, 3898277, 1137480]
inutilmente	[]
familiare	[1867098, 1867166, 1867073, 4394262, 1721932]
apertura	[2437991, 1795478, 3316553]
ingegneria	[4750138]
fogna	[1874159]
radicalmente	[1718953, 1867382]
inviare	[585784, 632170, 1791881, 1791889, 7716427]
eccellente	[2283572, 2474361, 758839]
mediocre	[2632781]
seguito	[2466947, 749452, 2121642]
concludere	[1765053, 5753126, 1803650]
maestra	[2195736, 2453159]
applicazione	[1166632, 2132684]
costituzione	[637196, 2988232]
arduo	[1758487]
pancetta	[3779038, 3779042]
poster	[538991]
barriera	[2437218]
decorare	[2152280, 2189454]
riversare	[]
sintomo	[1265056]
sostenibile	[1833854, 1677491, 1677492]
scherzare	[2272319]
sindaco	[1022999]
concentrazione	[2442466]
sciogliere	[987859]
matematico	[417557, 6217355, 385835, 385837, 1246939]
proposito	[1124114, 1083284, 1226506, 1261620, 869661]
quotidianamente	[4434530]
cruciverba	[3268774]
scorpione	[6871878]
candidato	[2433713, 1739764]
abile	[1326955]
vincitore	[1265197]
inciampare	[3305074]
categoria	[5563181, 1368167, 4841388]
offerta	[763698, 1978571, 1889164]
posizione	[3102819, 1758819, 1758828, 634164, 1012512]
invito	[1467725, 2784760, 1561778, 1720850]
minore	[2442466, 712724, 945463, 918434, 622691]
sovrano	[876868, 419087]
interrompere	[2152280, 869682, 3358335]
scavare	[3021788]
settore	[1759552, 1759539, 3641408, 2193254]
immediatamente	[2440229, 2029086, 2729703, 3265044]
usanza	[2197529]
avventura	[2437728, 1187890]
orale	[4518]
professione	[5489729]
finanziamento	[3000700]
cittadinanza	[2054194, 3162309]
esercitare	[2443782]
risparmio	[4420931, 2416284, 3331359]
vivace	[1866867, 3257380, 3542068, 3542070]
adolescente	[1806190, 2197366, 1512391, 2028586]
tirocinio	[]
stipendio	[997750, 945463, 1106270]
cieco	[1689520, 5597630, 888028]
manuale	[5027352, 2455983, 2456034, 2456010]
festeggiare	[1158659, 1786040, 1429116, 2226958, 2088626]
specificare	[3162241]
cordiale	[2417941]
oggigiorno	[1754705, 7321573]
desiderio	[1087204, 4922688, 2976981]
apatia	[631242]
psicologo	[1869319, 1578295, 1415894]
settanta	[622290, 2055925]
denominare	[3627091]
ricostruire	[3607212, 1874163, 1758487]
buco	[609493, 2412089, 3477389]
ricetta	[1722491, 2898231, 4901230, 6162170, 929358]
bussare	[3307420, 2232838, 2393012, 4986390]
comitato	[740368, 1860234, 1860237]
gratuito	[]
abitante	[2433523, 3114247, 5028821]
robot	[609456, 3314119]
spostamento	[2213603]
salvo	[3516661]
talento	[1873704, 2127898, 3409758, 3779124, 1847088]
lottare	[1864943, 4869038, 2335211, 3044958]
madrelingua	[3257380, 6034311, 6034310, 3406971]
lusso	[3566763]
attimo	[624971]
riflessione	[2213890, 1859962, 3030472, 2484326]
ostacolo	[1776893, 2426845, 1842375, 1842426, 2426915]
sottrarre	[]
circostanza	[4902352, 1816903]
sudare	[3317955, 4266289]
specie	[4886413, 920664]
pralina	[996850]
indubbiamente	[1032489]
manifestare	[749452, 1444212]
danneggiare	[668049, 2449136]
rovinare	[876779, 2050233, 6276999, 3548501, 3548502]
spina	[664230, 4403667, 2449136, 1507057]
sciocco	[705725, 612037, 2291338, 3266124]
artistico	[3441513]
impoverire	[]
gratuitamente	[4075159]
costante	[1776935, 4567, 2280188, 883369]
congresso	[2283512]
ingiustizia	[6954345]
ottanta	[622290, 3350709, 1083574, 1083575]
paga	[1807312, 1871486, 1871483, 819227]
tavola	[4542505, 2417941, 4504981, 375027]
pazienza	[5010958, 2209670, 1626792, 2209652, 3075005]
massa	[1166632, 1325453]
comunità	[1866867, 1349822, 4422176, 3025401, 1916694]
sporgere	[]
magico	[]
centrale	[1765036, 2126216, 990442, 878861, 980125]
caloria	[]
rotella	[]
infatti	[1806190, 1795470, 2416904, 2456010, 1803354]
navigazione	[825809]
cacciatore	[2510400, 7223173, 874307, 7806219]
tradizionale	[524257, 3283324, 3283325, 841101]
allarmare	[3369956]
allenare	[5739288, 1809181]
successivamente	[3284010]
evoluzione	[1737231, 3664587]
mortale	[670805]
determinare	[833533]
specifico	[1759552, 3264118, 3264117, 849245]
calmare	[]
esporre	[4295974, 900413]
comunicativo	[2456034]
incuriosire	[2485408, 4544715]
critico	[]
architetto	[1859670, 1859674, 3531104, 3531105, 2416308]
dirigere	[2428284, 7713790]
intuire	[2038912]
concessione	[1758490]
ultimamente	[2189466, 374186]
stimolo	[2437991]
attribuire	[1265056, 6843320]
articolare	[2426163, 2426537, 2426567]
vizio	[1401354, 937680]
ricercatore	[2437684, 1846952, 1846945, 1846947]
indispensabile	[1795486, 1796055]
bimbo	[]
indagine	[4829573, 1805712]
aumento	[4567, 1766542, 2448016]
casuale	[5137060]
arrivato	[5465970]
continente	[2419072, 1018313, 4649273]
pessimo	[2272165, 2407648, 2909017]
vulcano	[500255, 3461759, 1242463]
psiche	[4920805]
informatica	[1416105]
disturbare	[418987, 1828256]
magnifico	[]
burocrazia	[2402142]
curare	[4922687, 2793229, 3175365, 1516915]
sacrificio	[1321501, 1514736, 1765440]
gara	[3104090, 1062219, 1636976]
preso	[1777062]
richiesta	[1766132, 1758702, 350371, 946823, 6034780]
violino	[5572722, 2743820, 351824]
assieme	[1762730, 1577853, 4377786, 1931689, 3576088]
ampio	[2437991, 2429754, 2076688, 2224309, 4880931]
recuperare	[947552, 947553, 5074038, 4520, 947557]
altezza	[2152280, 1860326, 627237]
gesto	[2510168, 1323807, 3858337]
cacao	[2429163, 538988]
produzione	[3529264, 3530074, 393854, 1226509]
scolastico	[1803983, 653791, 2201230, 3414305, 409295]
quotidiano	[2213890, 903213, 3102126]
settimo	[5466799, 2514302, 1932760]
ininterrottamente	[4540836, 3621241]
basare	[3385724, 4420599, 1964322, 1200965, 3269735]
irlandese	[1250577, 3119200]
certamente	[893711, 758446, 2430136, 631242, 2434724]
rinunciare	[2426163, 2782350, 387334]
profilo	[1461855]
agitare	[2221831, 2221809]
eccezionale	[1842400, 1792219]
trucco	[1520712, 4380077, 4380080]
aggiunta	[1804000, 3105907, 2850400, 2850402]
calcolo	[]
somigliare	[]
affascinare	[3409461, 3409462, 2197397]
promozione	[3319143]
viale	[5414985]
merito	[1856712, 1754669]
persino	[2420968]
esperto	[1759531, 5665637, 2193254, 4314852]
codardia	[1321501]
stabilire	[3761070, 2272536]
mistero	[3877208, 2878522]
paesaggio	[2430203, 4962557, 2381764]
bilancio	[2189070, 2050233, 1168038]
malgrado	[3093976, 2196471]
percorso	[1874163, 1759594, 2426845]
tecnica	[1758497, 1226509, 1611737, 1543501]
svolgere	[3347311, 1765078, 3264386, 3264385]
grido	[5550381, 706823]
vicinanza	[2510036, 1838484]
figuraccia	[2068454]
tragedia	[1593465]
utente	[727003]
altra	[2152280, 1907011]
diffondere	[3102018, 2433523, 1264514, 5962390]
gettare	[2433713, 3331650, 3522328, 864999, 998867]
milione	[2574689, 1730810, 1097894, 1114998, 2715783]
prevenire	[3282449, 946780]
regolare	[2196471]
tradire	[]
sfortunatamente	[3883324, 607365, 2189192]
definire	[1776999, 2144702, 1834075, 2427262]
acustico	[2437868, 946684, 3749218, 3749219]
ricercare	[]
astro	[2090607]
sottovalutare	[755767]
concorso	[4933426]
cogliere	[3092036, 2056093]
accogliere	[1758765, 3640927, 3640928]
britannico	[1758493, 2434624, 872065, 2419072, 1311326]
regina	[399641, 419087, 945253, 2514928]
magari	[]
pratica	[2209458, 2279296, 1296406, 1082376, 506017]
cioccolata	[2197529]
bocciare	[3987348]
statua	[1049478]
alligatore	[4819837]
prenotazione	[2584787, 759986]
intervenire	[1762755, 1758760, 425511, 2144743, 3022744]
interazione	[2457780]
undici	[399278, 5507443, 1502408, 2055849]
vinto	[2201277]
sottolineare	[2092829, 1759636]
vedova	[2420287, 1341673]
vendita	[1081564, 393854, 2960666]
severo	[1032314, 387331]
intervista	[3406964]
impero	[3284010, 2419072, 5749225]
liquido	[920664, 1827103]
fungo	[2440229, 2440336, 5530064]
provocare	[1859679, 2328756]
biscotto	[]
video	[2793229, 1919189]
trappola	[3164266]
entusiasmo	[1737231, 4915198, 382832]
manifestazione	[4913004]
svolgimento	[1368154]
avvenire	[1803955, 612176, 1063154, 3745052]
instabile	[1561186]
riferimento	[1856712]
ramo	[4880972, 2445616, 1033101, 2090483, 1851326]
segno	[2224428, 2510036, 4404, 2845189, 1775050]
percentuale	[3483252]
destino	[585784, 5820136]
lettore	[4886413, 4829573, 4420599, 766244]
sedici	[772631, 758861, 985173]
fondare	[2433015]
ripresa	[3607212]
stringere	[3558291, 750721, 351129, 3558290, 5032052]
area	[707735, 3116607, 1219267, 717020, 2722097]
viaggiatore	[3284010]
