pubblico	[4537, 377548, 399343, 633849, 634213, 672098, 1754667, 1758490, 1765053, 1859670, 1910190, 2139674, 2221831, 2685976, 2819510, 3264117, 3264118, 3284010, 3439213, 3889361, 4711187, 4900533, 7270384, 7938123]
senso	[4407, 417502, 647135, 876779, 937769, 1061210, 1074110, 1204378, 1204380, 1268034, 1543226, 1765315, 1794926, 1848319, 1848351, 1916694, 2057199, 2205678, 2421409, 2437991, 2585784, 3045022, 3045032, 3065461, 3114625, 3114626, 3280443, 3280444, 3297577, 3350003, 3350004, 3411168, 3420511, 3441513, 3564821, 3643519, 3973937, 3973939, 4904313, 5071027]
dapprima	[1758790]
evento	[610296, 897248, 1646033, 1759525, 1765100, 1964322, 2035254, 2257992, 2431187, 2903233]
ormai	[4481, 2437168, 3617135, 4293390]
scaricare	[2078791, 3102945, 3102946, 3102947]
imperatore	[569289, 569338, 3025380]
punire	[1633225, 2714803]
inno	[2758474]
considerevole	[4099065]
meraviglia	[2090607, 2205678]
dignitosamente	[627710]
proporre	[4403, 412799, 1758765, 1870191, 2057140, 3663056, 3663057]
