a	Präposition	A1
abitare	Verb	A1
aceto	Substantiv	A1
acqua	Substantiv	A1
adesso	Adverb	A1
aereo	Substantiv	A1
aeroplano	Substantiv	A1
aeroporto	Substantiv	A1
affetto	Substantiv	A1
agenzia	Substantiv	A1
agosto	Substantiv	A1
aiuto	Interjektion	A1
albergo	Substantiv	A1
albero	Substantiv	A1
alfabeto	Substantiv	A1
alto	Adjektiv	A1
amare	Verb	A1
ambasciata	Substantiv	A1
amica	Substantiv	A1
amico	Substantiv	A1
amore	Substantiv	A1
anche	Konjunktion	A1
andare	Verb	A1
animale	Substantiv	A1
anno	Substantiv	A1
appartamento	Substantiv	A1
appuntamento	Substantiv	A1
aprile	Substantiv	A1
aprire	Verb	A1
arrivare	Verb	A1
arrivederci	Interjektion	A1
arte	Substantiv	A1
ascoltare	Verb	A1
aspettare	Verb	A1
attento	Adjektiv	A1
attenzione	Substantiv	A1
augurio	Substantiv	A1
autobus	Substantiv	A1
autunno	Substantiv	A1
avanti	Adverb	A1
avere	Verb	A1
bacio	Substantiv	A1
bagno	Substantiv	A1
ballare	Verb	A1
bambina	Substantiv	A1
bambino	Substantiv	A1
banca	Substantiv	A1
bar	Substantiv	A1
bello	Adjektiv	A1
bene	Adverb	A1
bere	Verb	A1
bianco	Adjektiv	A1
bicchiere	Substantiv	A1
bici	Substantiv	A1
bicicletta	Substantiv	A1
biglietto	Substantiv	A1
biondo	Adjektiv	A1
birra	Substantiv	A1
blu	Adjektiv	A1
borsa	Substantiv	A1
bottiglia	Substantiv	A1
bravo	Adjektiv	A1
bravo	Interjektion	A1
buonanotte	Interjektion	A1
buonasera	Interjektion	A1
buongiorno	Interjektion	A1
buono	Adjektiv	A1
busta	Substantiv	A1
caffè	Substantiv	A1
caldo	Adjektiv	A1
calza	Substantiv	A1
cambiare	Verb	A1
camera	Substantiv	A1
cameriera	Substantiv	A1
cameriere	Substantiv	A1
camicia	Substantiv	A1
campagna	Substantiv	A1
cane	Substantiv	A1
cantare	Verb	A1
canzone	Substantiv	A1
capello	Substantiv	A1
capire	Verb	A1
cappotto	Substantiv	A1
cappuccino	Substantiv	A1
carne	Substantiv	A1
caro	Adjektiv	A1
carta	Substantiv	A1
cartolina	Substantiv	A1
casa	Substantiv	A1
castano	Adjektiv	A1
cd	Substantiv	A1
cellulare	Substantiv	A1
cena	Substantiv	A1
cenare	Verb	A1
centro	Substantiv	A1
cercare	Verb	A1
certo	Adverb	A1
che	Pronomen	A1
check-in	Substantiv	A1
chi	Pronomen	A1
chiamare	Verb	A1
chiamarsi	Verb	A1
chiave	Substantiv	A1
chiesa	Substantiv	A1
chiudere	Verb	A1
ci	Pronominalpartikel	A1
ciao	Interjektion	A1
cibo	Substantiv	A1
cin-cin	Interjektion	A1
cinema	Substantiv	A1
città	Substantiv	A1
classe	Substantiv	A1
cognome	Substantiv	A1
colazione	Substantiv	A1
colore	Substantiv	A1
coltello	Substantiv	A1
come	Adverb	A1
cominciare	Verb	A1
compagna	Substantiv	A1
compagno	Substantiv	A1
compleanno	Substantiv	A1
comprare	Verb	A1
computer	Substantiv	A1
con	Präposition	A1
consolato	Substantiv	A1
conto	Substantiv	A1
corso	Substantiv	A1
corto	Adjektiv	A1
cosa	Substantiv	A1
costare	Verb	A1
credito	Substantiv	A1
cucchiaio	Substantiv	A1
cucina	Substantiv	A1
dare	Verb	A1
data	Substantiv	A1
davanti	Adverb	A1
dentro	Adverb	A1
destra	Substantiv	A1
di	Präposition	A1
dicembre	Substantiv	A1
dietro	Adverb	A1
difficile	Adjektiv	A1
dire	Verb	A1
doccia	Substantiv	A1
documento	Substantiv	A1
domanda	Substantiv	A1
domandare	Verb	A1
domani	Adverb	A1
domenica	Substantiv	A1
donna	Substantiv	A1
dopo	Adverb	A1
doppio	Adjektiv	A1
dormire	Verb	A1
dottore	Substantiv	A1
dottoressa	Substantiv	A1
dove	Adverb	A1
dovere	Verb	A1
e	Konjunktion	A1
e-mail	Substantiv	A1
entrare	Verb	A1
esercizio	Substantiv	A1
essere	Verb	A1
estate	Substantiv	A1
estero	Substantiv	A1
euro	Substantiv	A1
fabbrica	Substantiv	A1
facile	Adjektiv	A1
falso	Adjektiv	A1
fame	Substantiv	A1
famiglia	Substantiv	A1
fare	Verb	A1
farmacia	Substantiv	A1
favore	Substantiv	A1
fax	Substantiv	A1
febbraio	Substantiv	A1
felice	Adjektiv	A1
femmina	Substantiv	A1
fermata	Substantiv	A1
festa	Substantiv	A1
figlia	Substantiv	A1
figlio	Substantiv	A1
film	Substantiv	A1
finestra	Substantiv	A1
finire	Verb	A1
fiore	Substantiv	A1
forchetta	Substantiv	A1
fotografia	Substantiv	A1
francobollo	Substantiv	A1
fratello	Substantiv	A1
freddo	Adjektiv	A1
frutta	Substantiv	A1
fumare	Verb	A1
fuori	Adverb	A1
gatto	Substantiv	A1
gennaio	Substantiv	A1
gentile	Adjektiv	A1
giacca	Substantiv	A1
giallo	Adjektiv	A1
giardino	Substantiv	A1
giocare	Verb	A1
giornale	Substantiv	A1
giornata	Substantiv	A1
giorno	Substantiv	A1
giovane	Adjektiv	A1
giovedì	Substantiv	A1
giù	Adverb	A1
giugno	Substantiv	A1
gli	Artikel	A1
gonna	Substantiv	A1
grande	Adjektiv	A1
grazie	Interjektion	A1
guardare	Verb	A1
hobby	Substantiv	A1
hotel	Substantiv	A1
i	Artikel	A1
ieri	Adverb	A1
il	Artikel	A1
imparare	Verb	A1
importante	Adjektiv	A1
in	Präposition	A1
incontrare	Verb	A1
indietro	Adverb	A1
indirizzo	Substantiv	A1
industria	Substantiv	A1
informazione	Substantiv	A1
insegnante	Substantiv	A1
insegnare	Verb	A1
intelligente	Adjektiv	A1
interessante	Adjektiv	A1
internazionale	Adjektiv	A1
internet	Substantiv	A1
inverno	Substantiv	A1
io	Pronomen	A1
italiano	Substantiv	A1
la	Artikel	A1
là	Adverb	A1
lago	Substantiv	A1
largo	Adjektiv	A1
latte	Substantiv	A1
lavorare	Verb	A1
lavoro	Substantiv	A1
le	Artikel	A1
leggere	Verb	A1
lei	Pronomen	A1
lettera	Substantiv	A1
letto	Substantiv	A1
lezione	Substantiv	A1
lì	Adverb	A1
libro	Substantiv	A1
lingua	Substantiv	A1
lo	Artikel	A1
lontano	Adverb	A1
loro	Pronomen	A1
luglio	Substantiv	A1
lui	Pronomen	A1
lunedì	Substantiv	A1
lungo	Adjektiv	A1
macchina	Substantiv	A1
madre	Substantiv	A1
maggio	Substantiv	A1
maglietta	Substantiv	A1
maglione	Substantiv	A1
magro	Adjektiv	A1
mai	Adverb	A1
malato	Adjektiv	A1
male	Adverb	A1
mamma	Substantiv	A1
mangiare	Verb	A1
mare	Substantiv	A1
marito	Substantiv	A1
martedì	Substantiv	A1
marzo	Substantiv	A1
maschio	Substantiv	A1
matita	Substantiv	A1
mattina	Substantiv	A1
me	Pronomen	A1
medicina	Substantiv	A1
meno	Adverb	A1
menù	Substantiv	A1
mercato	Substantiv	A1
mercoledì	Substantiv	A1
mese	Substantiv	A1
metà	Substantiv	A1
mettere	Verb	A1
mezzanotte	Substantiv	A1
mezzo	Adjektiv	A1
mezzogiorno	Substantiv	A1
mi	Pronomen	A1
minuto	Substantiv	A1
mio	Adjektiv	A1
moglie	Substantiv	A1
molto	Adjektiv	A1
molto	Adverb	A1
momento	Substantiv	A1
montagna	Substantiv	A1
morire	Verb	A1
moto	Substantiv	A1
motocicletta	Substantiv	A1
museo	Substantiv	A1
musica	Substantiv	A1
nascere	Verb	A1
Natale	Substantiv	A1
nazionalità	Substantiv	A1
nazione	Substantiv	A1
negozio	Substantiv	A1
nero	Adjektiv	A1
nessuno	Pronomen	A1
niente	Pronomen	A1
niente	Adverb	A1
no	Adverb	A1
noi	Pronomen	A1
nome	Substantiv	A1
non	Adverb	A1
nonna	Substantiv	A1
nonno	Substantiv	A1
notte	Substantiv	A1
novembre	Substantiv	A1
numero	Substantiv	A1
nuovo	Adjektiv	A1
o	Konjunktion	A1
occhiale	Substantiv	A1
oggi	Adverb	A1
olio	Substantiv	A1
ombrello	Substantiv	A1
ora	Substantiv	A1
ora	Adverb	A1
orologio	Substantiv	A1
ospedale	Substantiv	A1
ottobre	Substantiv	A1
pacco	Substantiv	A1
padre	Substantiv	A1
pagare	Verb	A1
pane	Substantiv	A1
pantalone	Substantiv	A1
papà	Substantiv	A1
parcheggio	Substantiv	A1
parco	Substantiv	A1
parlare	Verb	A1
parola	Substantiv	A1
partire	Verb	A1
Pasqua	Substantiv	A1
passaporto	Substantiv	A1
pasta	Substantiv	A1
penna	Substantiv	A1
pepe	Substantiv	A1
per	Präposition	A1
perché	Adverb	A1
perché	Konjunktion	A1
pesce	Substantiv	A1
piacere	Verb	A1
piacere	Substantiv	A1
piano	Adverb	A1
piano	Substantiv	A1
pianta	Substantiv	A1
piatto	Substantiv	A1
piazza	Substantiv	A1
piccolo	Adjektiv	A1
piovere	Verb	A1
più	Adverb	A1
pizza	Substantiv	A1
pizzeria	Substantiv	A1
po’	Adverb	A1
poco	Adjektiv	A1
poco	Adverb	A1
